#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:22.78 tex:6366 mv:2248 misc:506 imb:155 pmb:126 smb:639 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:19.89 tex:18126 mv:5295 misc:227 imb:596 pmb:187 smb:137 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:29.03 aq:19.20 tex:11767 mv:3761 misc:600 imb:232 pmb:222 smb:466 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:29.03 aq:20.87 tex:941 mv:368 misc:267 imb:18 pmb:26 smb:876 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:17.01 tex:417 mv:77 misc:266 imb:1 pmb:14 smb:905 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:21.64 tex:6357 mv:2155 misc:576 imb:121 pmb:151 smb:648 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:22.23 tex:6114 mv:1873 misc:477 imb:85 pmb:128 smb:707 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:18.63 tex:20071 mv:4323 misc:286 imb:596 pmb:151 smb:173 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:29.03 aq:18.62 tex:8565 mv:2055 misc:628 imb:106 pmb:164 smb:650 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:15.58 tex:345 mv:139 misc:292 imb:8 pmb:13 smb:899 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:22.75 tex:5522 mv:2395 misc:491 imb:165 pmb:134 smb:621 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.03 aq:20.08 tex:28 mv:20 misc:160 imb:0 pmb:3 smb:917 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:23.71 tex:6125 mv:1949 misc:510 imb:87 pmb:159 smb:674 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:18.58 tex:21114 mv:4462 misc:392 imb:525 pmb:167 smb:228 d:- ref:0 w:6,65,0,6,59,10,64,0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:29.03 aq:17.01 tex:672 mv:219 misc:357 imb:9 pmb:30 smb:881 d:- ref:0 ;
in:62 out:60 type:P dur:2 cpbdur:2 q:29.03 aq:22.51 tex:6862 mv:1783 misc:507 imb:80 pmb:137 smb:703 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:29.03 aq:21.62 tex:103 mv:45 misc:172 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:29.03 aq:24.69 tex:101 mv:57 misc:194 imb:0 pmb:13 smb:907 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:21.29 tex:7217 mv:2330 misc:477 imb:105 pmb:163 smb:652 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:23.26 tex:776 mv:67 misc:253 imb:1 pmb:20 smb:899 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:19.03 tex:19180 mv:4716 misc:352 imb:656 pmb:207 smb:57 d:- ref:0 w:6,67,0 ;
in:67 out:66 type:P dur:2 cpbdur:2 q:29.03 aq:20.05 tex:9653 mv:2785 misc:658 imb:185 pmb:187 smb:548 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:29.03 aq:17.48 tex:61 mv:46 misc:189 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:18.91 tex:5245 mv:2212 misc:527 imb:113 pmb:152 smb:655 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:29.03 aq:18.80 tex:177 mv:69 misc:234 imb:2 pmb:9 smb:909 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:21.67 tex:3629 mv:1340 misc:495 imb:81 pmb:97 smb:742 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:19.33 tex:18190 mv:4598 misc:300 imb:465 pmb:224 smb:231 d:- ref:0 w:5,33,0 ;
in:73 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:19.45 tex:8888 mv:2475 misc:605 imb:143 pmb:179 smb:598 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:29.03 aq:20.04 tex:1108 mv:1211 misc:505 imb:22 pmb:132 smb:766 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:16.08 tex:117 mv:47 misc:204 imb:3 pmb:2 smb:915 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:29.03 aq:22.02 tex:7155 mv:2341 misc:472 imb:115 pmb:150 smb:655 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:29.03 aq:27.94 tex:988 mv:182 misc:198 imb:11 pmb:26 smb:883 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:19.28 tex:20533 mv:4849 misc:234 imb:759 pmb:144 smb:17 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:29.03 aq:19.05 tex:12136 mv:3049 misc:607 imb:93 pmb:216 smb:611 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:15.70 tex:169 mv:71 misc:240 imb:3 pmb:7 smb:910 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:22.65 tex:13074 mv:2401 misc:469 imb:138 pmb:122 smb:660 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:29.03 aq:21.79 tex:4815 mv:1951 misc:426 imb:11 pmb:163 smb:746 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:29.03 aq:23.80 tex:9649 mv:2181 misc:490 imb:81 pmb:148 smb:691 d:- ref:0 ;
in:83 out:83 type:I dur:2 cpbdur:2 q:26.12 aq:16.85 tex:26497 mv:10705 misc:118 imb:920 pmb:0 smb:0 d:- ref:;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:12.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:22.19 tex:8500 mv:2589 misc:503 imb:64 pmb:194 smb:662 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:22.08 tex:10634 mv:2849 misc:405 imb:74 pmb:196 smb:650 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:23.28 tex:17952 mv:4318 misc:442 imb:218 pmb:222 smb:480 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:23.91 tex:28267 mv:4667 misc:378 imb:263 pmb:209 smb:448 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:14.00 tex:4 mv:12 misc:176 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:23.29 tex:23754 mv:5935 misc:367 imb:450 pmb:228 smb:242 d:- ref:0 ;
