#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:45 type:b dur:2 cpbdur:2 q:29.03 aq:22.16 tex:73 mv:4 misc:147 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:29.03 aq:23.67 tex:149 mv:97 misc:234 imb:0 pmb:25 smb:895 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:29.03 aq:16.54 tex:8125 mv:972 misc:279 imb:44 pmb:60 smb:816 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:19.38 tex:11531 mv:1581 misc:368 imb:117 pmb:81 smb:722 d:- ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:20.92 tex:318 mv:144 misc:322 imb:4 pmb:17 smb:899 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:29.03 aq:24.21 tex:178 mv:36 misc:186 imb:0 pmb:8 smb:912 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:18.73 tex:10840 mv:2192 misc:408 imb:139 pmb:112 smb:669 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:22.72 tex:7970 mv:1934 misc:424 imb:60 pmb:117 smb:743 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:29.03 aq:23.67 tex:617 mv:395 misc:356 imb:3 pmb:67 smb:850 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:29.03 aq:23.11 tex:430 mv:408 misc:386 imb:5 pmb:72 smb:843 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:23.07 tex:12006 mv:2776 misc:474 imb:152 pmb:160 smb:608 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:29.03 aq:22.35 tex:13673 mv:3240 misc:503 imb:133 pmb:205 smb:582 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:21.46 tex:17216 mv:3588 misc:548 imb:122 pmb:243 smb:555 d:- ref:0 ;
in:60 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:23.43 tex:14372 mv:3271 misc:645 imb:125 pmb:220 smb:575 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:29.03 aq:21.29 tex:353 mv:366 misc:513 imb:3 pmb:107 smb:810 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:29.03 aq:26.63 tex:673 mv:77 misc:266 imb:1 pmb:24 smb:895 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:29.03 aq:21.03 tex:19823 mv:4050 misc:559 imb:159 pmb:273 smb:488 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:21.77 tex:2994 mv:472 misc:574 imb:10 pmb:119 smb:791 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:20.97 tex:19711 mv:3684 misc:597 imb:134 pmb:280 smb:506 d:- ref:0 ;
in:66 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:23.22 tex:17311 mv:3701 misc:540 imb:141 pmb:258 smb:521 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:29.03 aq:26.09 tex:483 mv:434 misc:579 imb:1 pmb:139 smb:780 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:29.03 aq:25.69 tex:601 mv:84 misc:243 imb:2 pmb:20 smb:898 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:22.82 tex:22356 mv:4041 misc:563 imb:116 pmb:314 smb:490 d:- ref:0 ;
in:70 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:23.92 tex:18418 mv:4241 misc:573 imb:98 pmb:343 smb:479 d:- ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:29.03 aq:25.66 tex:633 mv:388 misc:587 imb:0 pmb:155 smb:765 d:- ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:29.03 aq:24.09 tex:1037 mv:86 misc:277 imb:2 pmb:30 smb:888 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:22.86 tex:28499 mv:4403 misc:522 imb:129 pmb:349 smb:442 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:21.99 tex:3335 mv:529 misc:632 imb:11 pmb:129 smb:780 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:21.78 tex:30342 mv:4396 misc:566 imb:115 pmb:364 smb:441 d:- ref:0 ;
in:76 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:22.52 tex:30888 mv:4681 misc:567 imb:122 pmb:391 smb:407 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:29.03 aq:23.17 tex:398 mv:346 misc:608 imb:0 pmb:149 smb:771 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:29.03 aq:27.03 tex:559 mv:153 misc:272 imb:2 pmb:26 smb:892 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:22.02 tex:35478 mv:4756 misc:558 imb:107 pmb:413 smb:400 d:- ref:0 ;
in:80 out:78 type:P dur:2 cpbdur:2 q:29.03 aq:22.30 tex:26548 mv:4397 misc:583 imb:82 pmb:422 smb:416 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:29.03 aq:25.73 tex:355 mv:342 misc:623 imb:0 pmb:162 smb:758 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:29.03 aq:29.59 tex:985 mv:140 misc:339 imb:1 pmb:44 smb:875 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:29.03 aq:22.23 tex:32120 mv:4425 misc:583 imb:75 pmb:447 smb:398 d:- ref:0 ;
