#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:13.61 tex:12848 mv:3296 misc:112 imb:920 pmb:0 smb:0 d:- ref:;
in:77 out:78 type:b dur:2 cpbdur:2 q:29.03 aq:21.12 tex:6176 mv:2030 misc:506 imb:18 pmb:172 smb:730 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:20.80 tex:204 mv:55 misc:253 imb:1 pmb:9 smb:910 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:22.15 tex:14870 mv:2585 misc:505 imb:153 pmb:138 smb:629 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:29.03 aq:21.83 tex:6373 mv:1951 misc:500 imb:15 pmb:178 smb:727 d:- ref:0 ;
in:82 out:82 type:I dur:2 cpbdur:2 q:26.12 aq:17.53 tex:27274 mv:10491 misc:131 imb:920 pmb:0 smb:0 d:- ref:;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:21.19 tex:14917 mv:2703 misc:540 imb:76 pmb:203 smb:641 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:12.43 tex:69 mv:95 misc:236 imb:5 pmb:6 smb:909 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:22.17 tex:14135 mv:2695 misc:394 imb:78 pmb:182 smb:660 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:23.60 tex:19839 mv:4114 misc:407 imb:224 pmb:202 smb:494 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:25.54 tex:24807 mv:4436 misc:421 imb:233 pmb:195 smb:492 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:21.98 tex:32798 mv:5866 misc:312 imb:463 pmb:205 smb:252 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:24.85 tex:123 mv:39 misc:222 imb:1 pmb:6 smb:913 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:25.20 tex:24057 mv:5488 misc:383 imb:311 pmb:239 smb:370 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:29.03 aq:25.08 tex:25603 mv:5467 misc:354 imb:368 pmb:212 smb:340 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:24.02 tex:33631 mv:5041 misc:312 imb:571 pmb:106 smb:243 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:29.03 aq:20.87 tex:23576 mv:5338 misc:398 imb:481 pmb:157 smb:282 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.03 aq:22.29 tex:262 mv:39 misc:219 imb:0 pmb:9 smb:911 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.03 aq:20.45 tex:14302 mv:5123 misc:287 imb:593 pmb:187 smb:140 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:21.07 tex:7860 mv:3193 misc:611 imb:189 pmb:200 smb:531 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:29.03 aq:19.74 tex:9585 mv:3415 misc:520 imb:205 pmb:194 smb:521 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:29.03 aq:19.23 tex:5923 mv:1994 misc:563 imb:82 pmb:142 smb:696 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:29.03 aq:17.05 tex:321 mv:45 misc:242 imb:0 pmb:14 smb:906 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:29.03 aq:21.70 tex:4735 mv:1385 misc:456 imb:58 pmb:98 smb:764 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:29.03 aq:19.18 tex:14691 mv:3998 misc:239 imb:644 pmb:144 smb:132 d:- ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:29.03 aq:21.18 tex:17114 mv:3599 misc:599 imb:169 pmb:220 smb:531 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:29.03 aq:24.24 tex:3772 mv:1988 misc:544 imb:16 pmb:191 smb:713 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:21.18 tex:152 mv:64 misc:224 imb:3 pmb:4 smb:913 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:21.16 tex:9722 mv:2706 misc:580 imb:86 pmb:185 smb:649 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:21.56 tex:10385 mv:3081 misc:630 imb:127 pmb:214 smb:579 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:19.66 tex:22611 mv:4666 misc:251 imb:612 pmb:171 smb:137 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:19.57 tex:13231 mv:3010 misc:583 imb:158 pmb:240 smb:522 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:20.27 tex:368 mv:96 misc:272 imb:2 pmb:17 smb:901 d:- ref:0 ;
in:111 out:110 type:P dur:2 cpbdur:2 q:29.03 aq:20.96 tex:14793 mv:2913 misc:558 imb:128 pmb:182 smb:610 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:29.03 aq:23.31 tex:5267 mv:2005 misc:416 imb:20 pmb:154 smb:746 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:29.03 aq:22.38 tex:15229 mv:2627 misc:480 imb:104 pmb:165 smb:651 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:19.67 tex:27843 mv:5139 misc:322 imb:554 pmb:204 smb:162 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:29.03 aq:21.53 tex:406 mv:94 misc:300 imb:1 pmb:19 smb:900 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.03 aq:21.38 tex:13749 mv:2555 misc:600 imb:86 pmb:215 smb:619 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.03 aq:22.12 tex:14244 mv:3143 misc:573 imb:121 pmb:232 smb:567 d:- ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:22.06 tex:30068 mv:4290 misc:514 imb:305 pmb:205 smb:410 d:- ref:0 ;
